GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10614,K4A,178.0,1.0,908,85.33333333333333,4,0
120,10255,P3A,193.0,4.0,813,80.5,2,0
120,10338,L6C,178.0,1.0,965,94.66666666666667,3,0
120,10964,L5L,196.0,1.0,915,86.5,1,1
119,10906,K1L,178.0,2.0,973,16.666666666666668,6,0
120,10273,L5B,193.0,4.0,755,75.5,3,0
120,10793,K7M,179.0,4.0,903,90.33333333333333,3,0
120,10410,L5L,193.0,2.0,882,84.83333333333333,1,0
120,10335,L3C,197.0,4.0,832,80.16666666666667,5,0
120,10239,L6A,178.0,2.0,935,91.66666666666667,6,0
120,10750,L3X,191.0,1.0,913,87.83333333333333,6,0
120,10543,L4Z,194.0,5.0,862,86.16666666666667,4,0
120,10721,L6R,178.0,1.0,912,91.16666666666667,2,0
119,10662,K7P,191.0,1.0,943,91.5,3,0
120,11002,L4N,197.0,1.0,800,79.16666666666667,2,0
120,10457,L6T,199.0,1.0,820,82.0,7,0
120,10555,L3T,194.0,2.0,887,88.66666666666667,4,0
120,10890,L1S,181.0,1.0,863,86.33333333333333,2,0
120,10639,L5M,178.0,1.0,930,92.5,4,0
120,11136,M8X,191.0,1.0,915,91.0,6,0
119,10877,L5B,194.0,1.0,938,93.5,3,0
120,10594,L9A,196.0,2.0,887,85.83333333333333,1,0
119,10820,K2G,194.0,2.0,940,90.5,3,0
120,11012,N3T,179.0,1.0,910,89.83333333333333,3,0
120,10724,N3R,198.0,3.0,727,72.66666666666667,6,0
120,10516,L6P,194.0,1.0,948,92.5,5,0
119,11030,M4G,196.0,6.0,860,84.66666666666667,6,1
120,10273,L5B,193.0,4.0,735,73.5,5,0
120,10885,N9Y,196.0,1.0,917,90.16666666666667,1,1
120,10946,K2T,178.0,1.0,920,90.83333333333333,3,0
120,10765,N1H,178.0,2.0,967,96.33333333333333,1,0
120,10786,L4W,178.0,1.0,880,85.16666666666667,2,0
119,10215,L9C,199.0,2.0,797,79.66666666666667,4,0
119,10990,K9K,193.0,2.0,945,94.5,4,0
120,10423,M4N,179.0,2.0,940,46.5,3,0
119,10383,K7P,191.0,2.0,877,86.66666666666667,3,0
120,10459,N2K,178.0,1.0,875,87.5,2,0
119,10709,L8E,178.0,1.0,967,95.33333333333333,3,0
119,10410,L5K,196.0,1.0,878,85.83333333333333,1,1
120,10227,N6K,197.0,3.0,848,83.33333333333333,1,0
120,11043,L7J,196.0,3.0,877,86.5,3,1
119,10727,N1T,197.0,1.0,843,79.5,3,0
120,10639,L5M,190.0,4.0,823,82.33333333333333,2,0
120,11040,M3M,177.0,4.0,772,77.16666666666667,2,0
