GEND,SCHOOL,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11062,194.0,1.0,900,90.0,3,0
119,10458,194.0,1.0,967,95.16666666666667,5,0
120,10566,194.0,1.0,910,90.5,3,0
120,10429,178.0,4.0,957,95.16666666666667,1,0
119,10979,,,913,91.0,1,0
120,10966,190.0,2.0,918,90.5,7,0
119,11090,191.0,2.0,943,93.33333333333333,5,0
120,10639,178.0,2.0,907,90.66666666666667,4,0
120,10649,181.0,1.0,952,92.33333333333333,2,0
119,10492,191.0,2.0,925,89.0,3,0
120,10639,179.0,3.0,877,87.16666666666667,2,0
120,10771,,,700,70.0,3,0
120,10640,194.0,5.0,798,75.5,1,0
119,10282,197.0,1.0,868,85.0,3,0
120,10467,,,990,98.5,3,0
120,10812,178.0,1.0,962,93.16666666666667,3,0
119,10300,178.0,1.0,982,96.16666666666667,3,0
120,11220,194.0,7.0,918,88.16666666666667,4,0
120,10434,194.0,2.0,942,94.0,3,0
120,10947,181.0,4.0,868,84.5,3,0
120,10751,190.0,4.0,858,85.83333333333333,3,0
120,10721,,,808,79.66666666666667,3,0
120,10758,194.0,1.0,937,93.66666666666667,2,0
120,10706,194.0,3.0,947,93.16666666666667,4,0
119,10481,194.0,1.0,895,89.33333333333333,6,0
120,10685,179.0,3.0,938,92.0,4,0
120,11239,199.0,4.0,922,90.33333333333333,2,0
120,10528,178.0,1.0,957,93.5,4,0
120,11002,178.0,1.0,943,90.5,2,0
119,10383,,,973,95.0,2,0
120,10382,178.0,2.0,925,77.83333333333333,1,0
119,10380,178.0,1.0,953,95.33333333333333,3,0
119,10215,179.0,7.0,867,85.5,2,0
119,10447,193.0,5.0,900,86.16666666666667,4,0
120,11061,181.0,4.0,915,88.0,3,0
119,10851,191.0,1.0,958,92.0,3,0
119,10404,191.0,1.0,940,92.5,3,0
119,10266,191.0,1.0,965,96.5,2,0
120,10947,194.0,1.0,955,92.16666666666667,3,0
119,11201,197.0,1.0,928,91.33333333333333,4,0
120,10356,,,843,83.16666666666667,3,0
120,10341,190.0,2.0,868,86.83333333333333,3,0
120,10649,178.0,1.0,950,93.16666666666667,2,0
120,11148,190.0,2.0,820,82.0,5,0
119,11048,,,763,62.0,4,0
120,10331,178.0,2.0,863,84.0,10,0
120,10719,194.0,2.0,923,91.5,6,0
120,10650,199.0,1.0,850,78.66666666666667,3,0
120,10387,191.0,2.0,918,90.66666666666667,3,0
120,10807,178.0,1.0,945,94.0,5,0
120,10260,,,898,88.5,7,0
120,10360,178.0,2.0,885,87.66666666666667,3,0
120,10567,,,937,93.33333333333333,5,0
120,10565,177.0,3.0,800,76.83333333333333,4,0
120,10758,191.0,1.0,900,90.0,3,0
120,10937,194.0,1.0,897,89.66666666666667,5,0
120,10458,178.0,1.0,888,88.16666666666667,5,0
120,10228,178.0,1.0,955,94.66666666666667,2,0
120,10273,,,917,91.66666666666667,2,0
119,11021,178.0,2.0,960,96.0,4,0
120,10934,191.0,1.0,967,96.66666666666667,2,0
120,10372,191.0,5.0,882,85.66666666666667,2,0
120,10765,190.0,3.0,855,84.5,2,0
